,url,address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),menu_item,listed_in(type),listed_in(city)
21156,https://www.zomato.com/bangalore/the-dennys-jayanagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODkzNDIyIiwiMTg3MTM0MzciLCI1MzY1MiIsIjE4NTM2MDQ1Iiw1MDk4NSwiMTgyODA1OTQiLCIxODkyNDkyNyIsIjYwOTc5IiwiNjE0MDgiLCI1MDI4OCIsIjE4MjkwMDUxIiwiNTA1NzciLCI1MDYzNiIsIjUxNTcxIiwiNTE5ODMiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEpheWFuYWdhciJ9fQ==,"1550, 1st Floor, East End Circle, 9th Block, Jayanagar, Bangalore",The Denny's,No,No,3.7 /5,93,"080 26593687
080 25920389",Jayanagar,Casual Dining,"Palak Rice, Draught Beer","North Indian, Chinese",900,[],Dine-out,Jayanagar
20659,https://www.zomato.com/bangalore/nourich-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODcxMDc5IiwiNTgyNzMiLCIxODM5MTAzMiIsIjE4NzA5NTEyIiwxODk0OTQ0OCwiMTg2MzExNTYiLCIxODI1NDU5OSIsIjE4ODkwNDA1IiwiMTg3NDMwMjkiLCI1NjA5OCIsIjE4NDY4ODQzIiwiMTg5NDUzNTMiLCIxODc2MTg2NiIsIjE4NDEwNDkzIiwiMTg4Nzc3NzUiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEpheWFuYWdhciJ9fQ==,"67, Ground Floor, 3rd E Main Road, 15th Cross Road, 3rd Phase, JP Nagar, Bangalore",Nourich,Yes,Yes,NEW,0,"+91 9945675038
+91 8970112299",JP Nagar,Casual Dining,"Soba Noodles, Pad Thai Noodle, Pickled Beetroot, Chicken Sandwich","Continental, Chinese, North Indian, Asian, Healthy Food, Fast Food",800,"['Murg Malai Kebab', 'Goan Fish Curry', 'Vegetarian Rice Vermicelli', 'Vegetable Italian Club', 'Cream of Spinach', 'Tomato and Carrot', 'Mushroom n Garlic', 'Cream of Chicken', 'Chicken and Basil Soup', 'Chinese Green Vegetable Clear Bean Thread', 'Tom Yum Vegetable', 'Lemon, Coriander and Pepper', 'Palak Dal Shorba', 'White Meat Chicken Bean Thread', 'Tom Yum White Meat Chicken', 'Lemon Coriander n White Meat Chicken', 'Grilled Paneer', 'Cottage Cheese Cardini', 'Orange Pepper', 'Water Melon and Feta', 'Tandoori Salad', 'Yellow Chilli Chicken', 'Chicken Cardini', 'Paneer Tikka', 'Lalmirch Aloo', 'Tandoori Bhutta', 'Makai Seekh Kebab', 'Tandoori Kumbh', 'Lotus Stem Honey Chilli', 'Murg Malai Kebab', 'Tangdi Kebab', 'Seekh Kebab Rampuri', 'Shammi Kebab', 'Salmon Tikka Ajwaini', 'Paneer Butter Masala', 'Palak Paneer', 'Dal Makhani', 'Dal Tamatar', 'Dal Palak', 'Dum Aloo', 'Butter Chicken', 'Chicken Tikka Masala', 'Murg Kali Mirch', 'Keema Matar', 'Dhaniya Lamb Kofta', 'Jinga Salan', 'Goan Fish Curry', 'Paneer Plum Sauce', 'Paneer Wok Tossed Black Bean Sauce', 'Paneer Hunan Red Pepper Sauce', 'Paneer Cantonese Stir Fry', 'Paneer Bell Pepper Chilli Sauce', 'Paneer Green Thai Curry', 'Paneer Red Thai Curry', 'Veg Plum Sauce', 'Veg Wok Tossed Black Bean Sauce', 'Veg Hunan Red Pepper Sauce', 'Veg Cantonese Stir Fry', 'Veg Bell Pepper Chilli Sauce', 'Veg Green Thai Curry', 'Veg Red Thai Curry', 'Chicken Plum Sauce', 'Chicken Wok Tossed Black Bean Sauce', 'Chicken Hunan Red Pepper Sauce', 'Chicken Cantonese Stir Fry', 'Chicken Bell Pepper Chilli Sauce', 'Chicken Green Thai Curry', 'Chicken Red Thai Curry', 'Shrimp Plum Sauce', 'Shrimp Wok Tossed Black Bean Sauce', 'Shrimp Hunan Red Pepper Sauce', 'Shrimp Cantonese Stir Fry', 'Shrimp Bell Pepper Chilli Sauce', 'Shrimp Green Thai Curry', 'Shrimp Red Thai Curry', 'Whole Wheat Naan', 'Garlic Whole Wheat Naan', 'Pudina Paratha', 'Tandoori Roti', 'Onion Wheat Kulcha', 'Phulka', 'Chilli Butter Wheat Kulcha', 'Kodo Millet Jeera Tadka', 'Low Gi Long Grain Kashmiri Pulao', 'Millet Tadka Dahi', 'Steamed Rice', 'Vegetarian Kodo Millet', 'Vegetarian Low Gi Long Grain Basmati', 'Vegetarian Red Long Grain Basmati', 'Vegetarian Steamed Rice', 'Egg Kodo Millet', 'Egg Low Gi Long Grain Basmati', 'Egg Red Long Grain Basmati', 'Egg Steamed Rice', 'Chicken Kodo Millet', 'Chicken Low Gi Long Grain Basmati', 'Chicken Red Long Grain Basmati', 'Chicken Steamed Rice', 'Shrimp Kodo Millet', 'Shrimp Low Gi Long Grain Basmati', 'Shrimp Red Long Grain Basmati', 'Shrimp Steamed Rice', 'Vegetarian Phad Thai', 'Vegetarian Soba', 'Vegetarian Udon', 'Vegetarian Rice Vermicelli', 'Egg Phad Thai', 'Egg Soba', 'Egg Udon', 'Egg Rice Vermicelli', 'Chicken Phad Thai', 'Chicken Soba', 'Chicken Udon', 'Chicken Rice Vermicelli', 'Shrimp Phad Thai', 'Shrimp Soba', 'Shrimp Udon', 'Shrimp Rice Vermicelli', 'Vegetarian Cashew Pesto n Penne', 'Cream Cheese Sauce n Spaghetti', 'Sauce Pomodoro n Penne', 'Spaghetti Aglio E Olio', 'Pollo Pesto Di Basilica n Penne', 'Pollo Penne Arrabiata', 'Sauce Pomodoro n Penne', 'Beetroot and Bean', 'Classic Vegetarian', 'Chilli Bajji Burger', 'Sesame Chicken', 'Masala Chicken', 'Chicken n Cheese', 'Vegetable Italian Club', 'Bocconcini n Pesto', 'Chilli Cheese', 'Tomato Bruschetta', 'Pollo Italian Club', 'Shiitake Mushroom and Spinach', 'Szechuan Paneer', 'Classic Vegetable', 'Five Spice Chicken', 'Celery Chicken', 'Szechuan Chicken']",Delivery,Jayanagar
48792,https://www.zomato.com/bangalore/tree-tops-bar-kitchen-lavelle-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTk0Mjg0IiwiMTg1ODI4ODgiLCIxODU4MDM3OSIsIjU5NzIzIiwxODgwMjY5NiwiMTg3MzQwOTQiLCI1OTg2OSIsIjE4NzE4MzI4IiwiMTg2NDc1MDMiLCIxODE0ODk1NiIsIjE4MjE2NjYwIiwiNTI3MDAiLCIxODcwNTA3MyIsIjUxNDQxIiwiNTM5MTUiXSwidCI6Ik5pZ2h0bGlmZSBSZXN0YXVyYW50cyBpbiBSZXNpZGVuY3kgUm9hZCJ9fQ==,"Hotel Southern Star, 40/2, Roof Top, Lavelle Road, Bangalore",Tree Tops Bar & Kitchen,No,Yes,4.4 /5,152,080 45128778,Lavelle Road,"Casual Dining, Bar","Cocktails, Peri Peri Chicken Burger, Pasta, Brownie, Jalapeno Poppers, Mocktails, Basil Pesto","North Indian, Chinese, Continental, Italian","1,000",[],Drinks & nightlife,Residency Road
26053,https://www.zomato.com/bangalore/navarang-fast-food-kammanahalli?context=eyJzZSI6eyJlIjpbIjUxNDE2IiwiMTg0Nzg3OTUiLCIxODgwMjQyMCIsIjUxNzk0Iiw1NjU1NCwiNTEyMjYiLCI1NDk3NiIsIjE4OTM2ODU4IiwiNTg3MDkiLCIxODkzNjg1MyIsIjE4NzM3NTI3IiwiNTkxNzciLCIxODY0MDY5OCIsIjU1NzQyIiwiMTg5MDE4NjIiLCIxODM3OTYzOCIsIjE4NDY5NjIyIiwiMTg2NDc0NTciLCI1OTAxNCIsIjE4ODEzMTgxIl0sInQiOiJEaW5lLU91dCBSZXN0YXVyYW50cyBpbiBLYW1tYW5haGFsbGkifX0=,"228/1, Main Road, Kammanahalli, Bangalore",Navarang Fast Food,Yes,No,3.6 /5,116,+91 9844187247,Kammanahalli,Quick Bites,,"North Indian, Chinese, Kebab, Rolls",300,[],Dine-out,Kammanahalli
18746,https://www.zomato.com/bangalore/wanley-indiranagar?context=eyJzZSI6eyJlIjpbIjE4NjQzNTY3IiwiNTcwOTMiLCIxODIwMzAxMSIsIjE4MzU5MTQ4Iiw1MTczMSwiMTg5NDMxMTQiLCI1NDE2OCIsIjE4MjcwMTc5IiwiNTk2OTkiLCIxODcyODY0MCIsIjE4MzY2Njg1IiwiMTg2ODQ0MjgiLCI1NDgxOCIsIjE4MzExMzMyIiwiMTg1NDI5NjUiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEluZGlyYW5hZ2FyIn19,"421/P, Sri Krishna Temple Road, Off 100 Feet Road, Indiranagar, Bangalore",Wanley,No,No,4.0/5,514,"080 25253463
+91 9591373167",Indiranagar,Casual Dining,"Noodles, Manchow Soup, Dragon Chicken, Sweet Corn Soup, Roast Pork Chilli, Chop Suey, Roasted Pork",Chinese,500,[],Dine-out,Indiranagar
43817,https://www.zomato.com/bangalore/new-roll-centre-indiranagar?context=eyJzZSI6eyJlIjpbIjE4ODU1OTgyIiwiMTg2MzE1ODkiLCI1NTc2NSIsIjU1MzEyIiw1ODk2MSwiMTg3NzAxMzQiLCI1MjQ5MCIsIjUxMDAwIiwiMTg3Mjk1MDQiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIE1HIFJvYWQifX0=,"3081, 6th Main, Double Road, Indiranagar, Bangalore",New Roll Centre,No,No,3.3 /5,7,+91 8792136379,Indiranagar,Quick Bites,,"Fast Food, Rolls",150,[],Dine-out,MG Road
50517,https://www.zomato.com/bangalore/delhi-walle-whitefield?context=eyJzZSI6eyJlIjpbIjU2ODc3IiwiNTQ5ODMiLCIxODE2Mjg4NSIsIjE4NDgwNzI4Iiw1MTQ2NSwiMTg0NDMxMTMiLCIxODc0MDcxNSIsIjE4NDU3NzUwIiwiMTg4NTY4OTUiLCI1NzQzNCIsIjUyNjQyIiwiNTM1ODkiLCI2MDQwNiIsIjE4Nzk1OTQ0IiwiMTg3Mjc0MzQiLCIxODgyMjQ2MiIsIjE4ODY2ODgzIiwiMTg0NTQzNzIiLCIxODYyNDI5OCIsIjE4NjU4OTQ5IiwiMTg3NDkxMDYiLCIxODcxOTE0MiJdLCJ0IjoiRGVsaXZlcnkgUmVzdGF1cmFudHMgaW4gV2hpdGVmaWVsZCJ9fQ==,"9/9/1, Kundanahalli Gate, Whitefield, Bangalore",Delhi Walle,No,No,3.7 /5,118,"+91 8867710217
+91 9845623510",Whitefield,Quick Bites,"Lassi, Chaat, Chole Bhature, Jalebi, Panipuri, Thali, Paratha","North Indian, Street Food",300,[],Delivery,Whitefield
27449,https://www.zomato.com/bangalore/lassi-top-koramangala-4th-block-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjM5MDkxIiwiMTg1MzE3MTQiLCIxODU1MDEyMiIsIjE4NjA5MTk5IiwxODY3NzYxMSwiNTQ2NTQiLCIxODYyNzY2MCIsIjE4NTYyNDgwIiwiMTgyMjE1NDQiLCIxODYwMTY2NiIsIjE4OTUxMTQ2IiwiMTg3Mjg5MDQiLCIxODYxNzUzNSIsIjE4MzMzMTY2IiwiMTg0NzY0NzciXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDR0aCBCbG9jayJ9fQ==,"Oppsite Kalyan Jewellers, Koramangala 4th Block, Bangalore",Lassi Top,Yes,No,3.2/5,7,+91 7411157745,Koramangala 4th Block,Beverage Shop,,"Beverages, Ice Cream",200,[],Delivery,Koramangala 4th Block
42718,https://www.zomato.com/bangalore/chung-shan-chinese-restaurant-ejipura-bangalore?context=eyJzZSI6eyJlIjpbIjE4ODY2NjgxIiwiMTg2NDgzNzEiLCIxODUyOTgxNiIsIjE4ODE4ODE4Iiw1NjUzMiwiMTgzMDU2MjEiLCIxODc3NTgyNSIsIjE3OTc4MzY1IiwiMTgyMDMwMjQiLCI1MjI4OCIsIjUxNzg5IiwiNTkwMjQiLCIxODI2MzQwMyIsIjE4NTY2NzEzIiwiMTg2NTE4MzEiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIE1HIFJvYWQifX0=,"343, Ejipura Main Road, Viveknagar, Ejipura Area, Ejipura, Bangalore",Chung Shan Chinese Restaurant,No,No,3.7 /5,32,"+91 8095671232
+91 8147535479",Ejipura,Quick Bites,,"Chinese, Momos",500,[],Delivery,MG Road
22713,https://www.zomato.com/bangalore/papacream-jp-nagar-bangalore?context=eyJzZSI6eyJlIjpbIjUyMDQzIiwiMTg0MDQ0OTQiLCIxODY1ODc5MSIsIjU3MDIyIiwxODcwMzc0MCwiMTg3NzI2ODkiLCIxODY5ODY0NiIsIjE4NjQ1OTkxIiwiMTg2ODI5MDciLCIxODkwMjczMSIsIjE4OTA0MDY2IiwiMTg5MTAwNDAiLCIxODUzNjI5MSIsIjUzMDgzIiwiNTI5MTgiLCI1OTMzNyIsIjE4NTM1MDg0IiwiMTg2NjA3MDgiLCI1MDE3OSIsIjE4ODY5NzkyIiwiNTE4MzIiLCIxODMwNTY0OCIsIjE4ODkzNzYzIl0sInQiOiJEZWxpdmVyeSBSZXN0YXVyYW50cyBpbiBKUCBOYWdhciJ9fQ==,"313, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Papacream,Yes,No,3.7/5,17,+91 6362284759,JP Nagar,Dessert Parlor,,"Desserts, Ice Cream",350,"['Strawberry Ice Cream', 'Tipsy Whiskey Ice Cream', 'Anjeer Ice Cream', 'Virgin Mojito Sorbet Ice Cream', 'Strawberry Ice Cream', 'Blueberry', 'Tipsy Whiskey Ice Cream', 'Salted Caramel Popcorn Ice Cream', 'Red Velvet Cupcake Ice Cream', 'Bubblegum Candyfloss Ice Cream', 'Horlicks with Nutella Pancake Rolls', 'Tiramisu Ice cream', 'Red Velvet Crumble', 'Fudgy Brownie', 'Choco-Butterscotch', 'Cheesecake Crumble', 'Nutella Pancake Roll', 'Fruity Pebbles', 'Oreo', 'Gems', 'Fudge Sauce', 'Berry Sauce', 'Caramel Sauce']",Delivery,JP Nagar
2138,https://www.zomato.com/bangalore/4671-indian-coastal-cuisine-bannerghatta-road?context=eyJzZSI6eyJlIjpbIjE4NDIzNjIwIiwiNTQ1NTMiLCI1ODMwNiIsIjE4NTU0OTQ2IiwxODI1NDU2NCwiNjEzMTQiLCIxODYyMjU1NSIsIjE4NjU1NTgzIiwiMTg3MzQ2NjkiLCIxODU2OTIyMyIsIjE4NTc3ODgxIiwiNTYzOTUiLCI1NjkzNyIsIjUxODk4IiwiNjA4OTEiLCIxODA0ODI0NSIsIjE3OTc4MzQ1IiwiMTgyNDY1MDQiLCI1ODEwNSJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=,"5th Floor, Gopalan Innovation Mall, Bannerghatta Road, Bangalore",4671 Indian Coastal Cuisine,No,No,,0,"+91 9980094671
080 41233133",Bannerghatta Road,Food Court,,"Seafood, Mangalorean, Kerala",600,[],Dine-out,Bannerghatta Road
11076,https://www.zomato.com/bangalore/navya-foods-hsr-bangalore?context=eyJzZSI6eyJlIjpbIjYwMjk2IiwiMTgxNjAxMjEiLCIxODU4NTY4OCIsIjU1NDM2IiwxODg4OTM0NywiMTg1NDEzNjgiLCIxODUzNjI5MSIsIjE4NTU5MzkwIiwiMTg0ODkxMzAiLCI1NzA1MSIsIjE4MDQ4MjY3IiwiMTg0MzI5NjYiLCI1NjA0MCIsIjE4NzY5NzQ5IiwiMTg4OTMxMTciXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIEJUTSJ9fQ==,"119/19, Ground Floor, 10th Cross, Venkateshwara Layout, SG Palya, HSR, Bangalore",Navya Foods,Yes,No,3.4/5,7,+91 9880453040,HSR,Quick Bites,,"North Indian, Fast Food",300,[],Dine-out,BTM
46118,https://www.zomato.com/bangalore/boozers-bar-kitchen-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTY3MzA5IiwiMTgyODA2MDciLCIxODAyMjI4MyIsIjE4MjcwMTc5IiwxODU0MzM4OCwiNTIwOTQiLCI1NzA0MSIsIjE4Mzc1NTU4IiwiMTg3NTUyOTciLCIxODg4NTU1MCIsIjU4MzAxIiwiNTcyMTciLCI1ODIzOSIsIjE4MzQ2MzYwIiwiMTg1NTU5NjEiLCIxODc5MDY3MCIsIjU0OTY3IiwiMTgyNjM0MDQiXSwidCI6IlB1YnMgJmFtcDsgQmFycyBpbiBPbGQgQWlycG9ydCBSb2FkIn19,"1200, 100 Feet Road, HAL 2nd Stage, Indiranagar, Bangalore",Boozers Bar & Kitchen,No,No,4.3 /5,700,,Indiranagar,"Bar, Casual Dining","Beer, Cocktails, Chicken Burger, Pasta, Tandoori Chicken, Chicken Manchurian, Pizza","Continental, Burger, Italian, Pizza, North Indian, Chinese, Finger Food",,[],Pubs and bars,Old Airport Road
29944,https://www.zomato.com/bangalore/the-ganache-factory-domlur-bangalore?context=eyJzZSI6eyJlIjpbIjE4NTk1OTM0IiwiMTg0NjcyMTEiLCIxODU5MTk0NyIsIjE4NTQyNzMwIiwxODU2OTk3MiwiMTgzNTk4ODQiLCIxODY4MjYyMyIsIjE4ODAwNjcyIiwiMTg3NTEyOTgiLCIxODYyNDk0NSIsIjE4NzcyOTU5IiwiMTg2NDY2ODUiLCIxODYzMTc5MyIsIjE4NzE5NjI1IiwiMTgyODA1NzUiLCIxODc5NDgxMSIsIjE4NTQyNzM2IiwiMTg1NjczNDgiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEtvcmFtYW5nYWxhIDV0aCBCbG9jayJ9fQ==,"Pyramid Food Court, Embassy Golf Links, Domlur, Bangalore",The Ganache Factory,Yes,No,4.1 /5,41,+91 9632259860,Domlur,"Dessert Parlor, Bakery","Cheesecake, Key Lime Pie","Desserts, Bakery",400,"['Nutella Stuffed Chocochip Cookie', 'Red Velvet Cheesecake [ 1 Piece ]', 'Nutella Cheesecake [ 1 Piece ]', 'Caramel Cheesecake [ 1 Piece ]', 'Blueberry Cheesecake [ 1 Piece ]', 'Ganache Tart', 'Key Lime Pie', 'Walnut Brownie [ 1 Piece ]', 'Salted Caramel Brownie [ 1 Piece ]', 'Red Velvet', 'Tiramisu', 'Nutella Cake', 'Tres Leches', 'Walnut Brownie [ 1 Piece ]', 'Salted Caramel Brownie [ 1 Piece ]', 'Eggless Tres Leches Cake [ 500gms ]', 'Red Velvet Cheesecake [ 1 Piece ]', 'Nutella Cheesecake [ 1 Piece ]', 'Caramel Cheesecake [ 1 Piece ]', 'Cranberry Cheesecake [ 1 Piece ]', 'Blueberry Cheesecake [ 1 Piece ]', 'Milk Choclate Chunk Cookie', 'Dark Chocolate Chunk Cookie', 'Nutella Stuffed Chocochip Cookie', 'Ganache Tart', 'Key Lime Pie', 'Red Velvet', 'Tiramisu', 'Nutella Cake', 'Caramello', 'Tres Leches']",Delivery,Koramangala 5th Block
2195,https://www.zomato.com/bangalore/shiv-sagar-bannerghatta-road-bangalore?context=eyJzZSI6eyJlIjpbIjE4NjMyMjc0IiwiMTg2NTM4NjciLCIxODczMDI1NyIsIjE4OTQ3NTc1IiwxODY2MzcwOSwiNjA3ODciLCIxODU4MzAyNyIsIjE4NjQ3MjA1IiwiNTYzOTciLCIxODA4OTY5OSIsIjE4NjM4MDgyIiwiMTg2NTEwNTgiLCIxODY3MjQyOCIsIjE4NzY5MDYzIiwiMTg3OTg2MjciLCIxODg4MDAyMCIsIjE4ODczNzA4IiwiMTg4Nzg5NTAiLCIxODg5NTI0MyIsIjE4ODgzNjIwIiwiMTg0NTgzOTgiLCIxODU5MDMwNiJdLCJ0IjoiRGluZS1PdXQgUmVzdGF1cmFudHMgaW4gQmFubmVyZ2hhdHRhIFJvYWQifX0=,"QSR -1, 3rd Floor, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",Shiv Sagar,No,No,3.6/5,10,"+91 8067922490
+91 7259667270",Bannerghatta Road,Food Court,,"South Indian, Beverages",400,[],Dine-out,Bannerghatta Road
17662,https://www.zomato.com/bangalore/food-town-indiranagar-bangalore?context=eyJzZSI6eyJlIjpbIjUwNDU3IiwiNTk3OTQiLCIxODUwMzMyOCIsIjE4NjMwNTgwIiwxODc3MTE3MywiMTg3Mzg5MTQiLCIxODc3NzY3NiIsIjE4NzM0NTA1IiwiMTg0NjAwNjAiLCI2MDgyMyIsIjE4NzUyMTY5IiwiMTgzOTEwMjkiLCIxODQ3MjM4MSIsIjE4MTY1NzcxIiwiMTg1NTIxMzIiLCIxODYzMTAwNyIsIjUwMzE0IiwiNTg5NjAiLCIxODM1OTkxNiIsIjYwNTUxIiwiNTc5MjAiXSwidCI6IkRlbGl2ZXJ5IFJlc3RhdXJhbnRzIGluIEluZGlyYW5hZ2FyIn19,"153, Ground Floor, 9th Cross, Indiranagar, Bangalore",Food Town,Yes,No,3.2/5,5,"+91 9036963478
+91 6362545124",Indiranagar,Quick Bites,,Chinese,150,[],Delivery,Indiranagar
46901,https://www.zomato.com/bangalore/south-spicy-bites-basaveshwara-nagar?context=eyJzZSI6eyJlIjpbIjE4MTgxMzI4IiwiNjA0MzAiLCI1MTQ4OCIsIjE4NDE4NTM4Iiw2MDM3NCwiMTg4MTA4OTgiLCI1NDEzMCIsIjUyNjYwIiwiMTg5NDAwMjIiLCI1NTgzNyIsIjE4MTQ4OTY1IiwiNTI3MTciLCIxODYwNDkxNCIsIjUzMzc2IiwiMTg2MzY2NzAiXSwidCI6IkRpbmUtT3V0IFJlc3RhdXJhbnRzIGluIFJhamFqaW5hZ2FyIn19,"180, Manjunathnagar, Near Carmel College, Basaveshwara Nagar, Bangalore",South Spicy Bites,Yes,No,3.7 /5,68,"080 23508546
+91 9741962939",Basaveshwara Nagar,Casual Dining,"Fish, Tandoori Chicken, Neer Dosa, Sea Food","North Indian, Chinese",500,[],Dine-out,Rajajinagar
